category,code,description,unit,budget_quantity
Fire_Protection,FPS.051,Alarm sounder beacon combined - Train 2,each,102
Concrete_Works,CON.040,Formwork to walls - Export Pump Area,m2,1009
Valves,VLV.050,Gate valve 8in 150lb CS RF - Area B,each,14
Concrete_Works,CON.041,Reinforced concrete foundation - Wellpad 2,m3,894
Insulation_&_Painting,INL.031,Pipe colour coding banding - Manifold Area,m,2217
HVAC,HVC.030,Chilled water pipe 4in insulated - Utilities Area,m,326
Commissioning_&_Testing,COM.052,ESD valve stroke test - Train 3,each,32
Concrete_Works,CON.042,Concrete column - Wellpad 2,m3,136
Electrical,ELC.063,Cable ladder 600mm galvanised - Slug Catcher Area,m,1318
Instrumentation_&_Control,INS.074,Impulse line SS quarter-in OD - Manifold Area,m,163
Piping,PIP.080,Pipe spool installation 6in - Utilities Area,m,321
Electrical,ELC.064,Cable ladder 600mm galvanised - South Battery,m,1234
HSE_&_Safety,HSE.029,Gas monitor personal 4-gas - Slug Catcher Area,each,28
Telecommunications,TEL.043,Fibre optic patch panel 24 port - Train 2,each,1
Storage_Tanks,TNK.045,Tank staircase and platform - Area D,each,0
Commissioning_&_Testing,COM.053,HAZOP review closeout action - Wellpad 1,each,37
Telecommunications,TEL.044,Fibre optic patch panel 24 port - Slug Catcher Area,each,0
Instrumentation_&_Control,INS.075,Sun shade SS for transmitter - Wellpad 3,each,161
HSE_&_Safety,HSE.030,Gas monitor personal 4-gas - Wellpad 3,each,55
Instrumentation_&_Control,INS.076,Multicore instrument cable 16P - South Battery,m,1430
Concrete_Works,CON.043,Concrete pump sump - Area C,each,22
Instrumentation_&_Control,INS.077,Differential pressure transmitter - Wellpad 3,each,44
Utilities,UTL.042,Sewage treatment plant 50 EP - Train 2,each,2
Piping,PIP.081,CS tee equal 4in BW - Export Pump Area,each,18
Concrete_Works,CON.044,Rebar supply and fix 20mm - North Battery,ton,109
Electrical,ELC.065,Cable tray 600mm galvanised - Wellpad 3,m,479
Buildings_&_Facilities,BLD.056,Partition wall 90mm stud - Area B,m2,296
Utilities,UTL.043,Sewage treatment plant 50 EP - Export Pump Area,each,2
Electrical,ELC.066,Conduit GI 50mm - Export Pump Area,m,266
Buildings_&_Facilities,BLD.057,Window aluminium double glaze - Train 1,each,5
Instrumentation_&_Control,INS.078,Safety PLC system SIL2 - Wellpad 2,lot,2
Mechanical_Equipment,MCH.063,Centrifugal pump 200m3/h - Area D,each,3
Piping,PIP.082,Pipe spool installation 6in - Utilities Area,m,274
Buildings_&_Facilities,BLD.058,Wall cladding sandwich panel 75mm - Area D,m2,709
Mechanical_Equipment,MCH.064,Air cooled heat exchanger - Export Pump Area,each,2
Telecommunications,TEL.045,UHF radio repeater station - Wellpad 1,each,3
Insulation_&_Painting,INL.032,Personnel protection insulation 4in - Train 3,m2,90
Concrete_Works,CON.045,Expansion joint 20mm - Export Pump Area,m,150
HSE_&_Safety,HSE.031,Wind sock and pole 6m - Export Pump Area,each,1
Utilities,UTL.044,Oily water separator 5 m3/h - Wellpad 2,each,2
HSE_&_Safety,HSE.032,Stretcher and first aid kit - Area C,each,4
Mechanical_Equipment,MCH.065,Inline strainer basket 8in - Wellpad 1,each,10
HSE_&_Safety,HSE.033,Defibrillator AED - Train 2,each,3
Insulation_&_Painting,INL.033,Topcoat polyurethane 50 micron - North Battery,m2,1312
Valves,VLV.051,Gate valve 6in 150lb CS RF - Train 1,each,6
Insulation_&_Painting,INL.034,Thermal insulation rockwool 50mm - Area A,m2,427
Buildings_&_Facilities,BLD.059,Window aluminium double glaze - Wellpad 3,each,4
Buildings_&_Facilities,BLD.060,Substation building 8m x 5m - Train 1,each,5
Steel_Structures,STL.047,Steel grating flooring 25mm - Area C,m2,670
HSE_&_Safety,HSE.034,Speed bump rubber 1.8m - Utilities Area,each,16
Instrumentation_&_Control,INS.079,Level transmitter guided wave - Area C,each,32
Storage_Tanks,TNK.046,Tank grounding system - Area C,each,1
Utilities,UTL.045,Sewage pump submersible - Wellpad 3,each,2
Buildings_&_Facilities,BLD.061,Substation building 8m x 5m - Train 2,each,6
Piping,PIP.083,CS pipe 16in SCH40 LSAW - Slug Catcher Area,m,733
Concrete_Works,CON.046,Concrete bund wall - Area D,m3,126
Storage_Tanks,TNK.047,Tank floor plate 8mm CS - Train 2,ton,93
HSE_&_Safety,HSE.035,Stretcher and first aid kit - North Battery,each,3
HVAC,HVC.031,Air handling unit 10000 m3/h - Wellpad 1,each,5
Mechanical_Equipment,MCH.066,Vertical turbine pump - Train 3,each,5
Buildings_&_Facilities,BLD.062,Substation building 8m x 5m - South Battery,each,3
Storage_Tanks,TNK.048,Tank floor plate 8mm CS - Area C,ton,142
Piping,PIP.084,Gasket spiral wound 6in 150lb - Train 1,each,126
Telecommunications,TEL.046,CCTV pole 6m galvanised - Wellpad 2,each,24
Buildings_&_Facilities,BLD.063,Raised access flooring 600x600 - Area B,m2,394
Civil_&_Earthworks,CEW.034,Erosion control matting - Area C,m2,175
Commissioning_&_Testing,COM.054,Chemical cleaning and passivation - South Battery,lot,2
Buildings_&_Facilities,BLD.064,Fire door 90min 900x2100 - Slug Catcher Area,each,15
Civil_&_Earthworks,CEW.035,Site clearing and grubbing - Utilities Area,ha,8
HVAC,HVC.032,Refrigerant pipe 7/8in copper - Wellpad 1,m,79
Storage_Tanks,TNK.049,Tank shell plate 10mm CS - Utilities Area,ton,267
Utilities,UTL.046,Closed drain sump and pump - Manifold Area,each,4
Concrete_Works,CON.047,Expansion joint 20mm - Area B,m,147
Instrumentation_&_Control,INS.080,Flow meter ultrasonic 6in - Utilities Area,each,8
Electrical,ELC.067,Distribution transformer 250kVA - Train 1,each,2
HSE_&_Safety,HSE.036,Speed bump rubber 1.8m - Wellpad 2,each,19
Electrical,ELC.068,UPS system 30kVA - Manifold Area,each,3
Electrical,ELC.069,Conduit GI 25mm - Area D,m,991
Fire_Protection,FPS.052,Foam concentrate tank 5000L - Area D,each,2
Mechanical_Equipment,MCH.067,Centrifugal pump 100m3/h - Train 1,each,2
Mechanical_Equipment,MCH.068,Inline strainer basket 8in - Manifold Area,each,10
Instrumentation_&_Control,INS.081,Orifice plate and flanges 4in - North Battery,each,24
Piping,PIP.085,CS flange blind 4in 150lb - Wellpad 2,each,74
HSE_&_Safety,HSE.037,Welfare container 20ft fitted - Wellpad 2,each,1
Piping,PIP.086,CS flange blind 4in 150lb - Utilities Area,each,77
Fire_Protection,FPS.053,Firewater pump diesel 500m3/h - Utilities Area,each,4
Insulation_&_Painting,INL.035,Insulation cladding aluminium 0.9mm - Area A,m2,1100
Instrumentation_&_Control,INS.082,DCS IO cabinet - Export Pump Area,each,7
Valves,VLV.052,Check valve 8in 300lb CS RF - Wellpad 3,each,4
Mechanical_Equipment,MCH.069,Metering skid package - Utilities Area,each,1
Commissioning_&_Testing,COM.055,Compressor performance test - Utilities Area,each,0
Civil_&_Earthworks,CEW.036,Gravel sub-base 300mm thick - Area D,m2,4200
Mechanical_Equipment,MCH.070,Plate heat exchanger - Wellpad 3,each,10
Electrical,ELC.070,Cable tray 600mm galvanised - Area B,m,489
Buildings_&_Facilities,BLD.065,Hollow core door 900x2100 - Train 3,each,25
Mechanical_Equipment,MCH.071,Inline strainer Y-type 4in - Area C,each,18
Fire_Protection,FPS.054,Firewater ring main 6in CS - South Battery,m,249
Telecommunications,TEL.047,CCTV pole 6m galvanised - Area D,each,11
Steel_Structures,STL.048,Steel pipe rack structure - Manifold Area,ton,62
Electrical,ELC.071,Power transformer 11kV to 415V - Wellpad 3,each,3
Valves,VLV.053,Gate valve 4in 150lb CS RF - Manifold Area,each,37
Concrete_Works,CON.048,Concrete slab on grade 200mm - Area B,m3,997
Electrical,ELC.072,HV switchgear panel 11kV - Utilities Area,each,3
Piping,PIP.087,CS reducer 8x6in BW - Train 1,each,33
Telecommunications,TEL.048,UHF radio repeater station - Wellpad 2,each,1
Telecommunications,TEL.049,Satellite VSAT terminal - Wellpad 1,each,1
Insulation_&_Painting,INL.036,Mid coat epoxy 80 micron - Utilities Area,m2,1676
Storage_Tanks,TNK.050,Floating roof tank 10000m3 - Utilities Area,each,1
Electrical,ELC.073,Cable ladder 600mm galvanised - Wellpad 2,m,1113
Instrumentation_&_Control,INS.083,Flow meter turbine 2in - Wellpad 1,each,6
HSE_&_Safety,HSE.038,Breathing apparatus BA set - Area A,each,20
Mechanical_Equipment,MCH.072,Plate heat exchanger - North Battery,each,9
Buildings_&_Facilities,BLD.066,Plumbing sanitary fittings - Utilities Area,lot,2
Commissioning_&_Testing,COM.056,Pneumatic leak test 2in - Manifold Area,m,349
Utilities,UTL.047,Sewage pump submersible - North Battery,each,2
Utilities,UTL.048,Eyewash and shower station - Area D,each,2
Instrumentation_&_Control,INS.084,Impulse line SS quarter-in OD - Wellpad 2,m,179
Instrumentation_&_Control,INS.085,Flow meter Coriolis 4in - Train 3,each,16
Telecommunications,TEL.050,UHF radio repeater station - Utilities Area,each,4
HSE_&_Safety,HSE.039,Gas monitor personal 4-gas - Area B,each,60
HVAC,HVC.033,Air handling unit 10000 m3/h - Train 3,each,4
Commissioning_&_Testing,COM.057,Commissioning spare parts kit - Utilities Area,lot,5
Storage_Tanks,TNK.051,Tank internal floating roof - Train 2,each,1
HVAC,HVC.034,Return air grille 600x300 - Wellpad 2,each,29
Utilities,UTL.049,Water well pump submersible - South Battery,each,2
Piping,PIP.088,HDPE pipe DN110 SDR11 - North Battery,m,644
Storage_Tanks,TNK.052,Atmospheric storage tank 5000m3 - North Battery,each,4
Storage_Tanks,TNK.053,Atmospheric storage tank 5000m3 - Wellpad 1,each,3
Utilities,UTL.050,Diesel fuel storage tank 10m3 - Utilities Area,each,2
Electrical,ELC.074,Motor control centre panel - South Battery,each,4
Buildings_&_Facilities,BLD.067,Window aluminium double glaze - Manifold Area,each,6
Instrumentation_&_Control,INS.086,DCS operator workstation - Wellpad 3,each,7
Piping,PIP.089,CS tee equal 6in BW - Wellpad 1,each,9
HSE_&_Safety,HSE.040,Wind sock and pole 6m - Area C,each,0
Instrumentation_&_Control,INS.087,Instrument valve manifold 3-way - South Battery,each,118
Valves,VLV.054,Check valve 6in 150lb CS RF - Train 3,each,18
Mechanical_Equipment,MCH.073,Filter separator skid - South Battery,each,0
Telecommunications,TEL.051,Satellite VSAT terminal - North Battery,each,0
Utilities,UTL.051,Instrument air receiver 1000L - North Battery,each,2
Concrete_Works,CON.049,Concrete wall 250mm - Area D,m3,213
HSE_&_Safety,HSE.041,Speed bump rubber 1.8m - Utilities Area,each,9
Piping,PIP.090,CS elbow 90deg 4in BW - Area A,each,184
Piping,PIP.091,CS flange RFWN 10in 300lb CS - Slug Catcher Area,each,28
Fire_Protection,FPS.055,Heat detector rate of rise - Utilities Area,each,24
Mechanical_Equipment,MCH.074,Inline strainer Y-type 4in - Wellpad 2,each,16
Concrete_Works,CON.050,Formwork to slab soffit - Area C,m2,2855
Valves,VLV.055,Safety relief valve 4in set - Area B,each,9
Piping,PIP.092,Pipe support guide CS 8in - Slug Catcher Area,each,234
Piping,PIP.093,Spring hanger variable 4in - Area B,each,8
Instrumentation_&_Control,INS.088,Safety PLC system SIL2 - Utilities Area,lot,1
Mechanical_Equipment,MCH.075,Inline strainer basket 8in - Area B,each,4
Buildings_&_Facilities,BLD.068,Partition wall 90mm stud - Area D,m2,382
Electrical,ELC.075,MV switchgear panel 3.3kV - Wellpad 1,each,3
Commissioning_&_Testing,COM.058,Chemical cleaning and passivation - Utilities Area,lot,2
Piping,PIP.094,SS 316L pipe 2in SCH40 - Export Pump Area,m,25
Steel_Structures,STL.049,Miscellaneous steelwork - Wellpad 2,ton,1
Fire_Protection,FPS.056,Monitor foam and water 2000 l/m - South Battery,each,7
Civil_&_Earthworks,CEW.037,Concrete kerb and channel - Wellpad 2,m,2075
Buildings_&_Facilities,BLD.069,Partition wall 90mm stud - Train 3,m2,181
Commissioning_&_Testing,COM.059,Pre-commissioning flushing - Manifold Area,lot,1
Insulation_&_Painting,INL.037,Pipe colour coding banding - Wellpad 2,m,873
Utilities,UTL.052,Instrument air receiver 1000L - Area D,each,1
Piping,PIP.095,CS elbow 90deg 6in BW - Utilities Area,each,69
Mechanical_Equipment,MCH.076,Centrifugal pump 200m3/h - Area A,each,4
Valves,VLV.056,Needle valve half-in SS316 - Export Pump Area,each,28
Storage_Tanks,TNK.054,Tank mixing agitator - Wellpad 1,each,5
Buildings_&_Facilities,BLD.070,Window aluminium double glaze - Area A,each,3
Electrical,ELC.076,Control cable 12C x 1.5mm2 - North Battery,m,1472
Piping,PIP.096,CS pipe 2in SCH40 seamless - Export Pump Area,m,1410
Instrumentation_&_Control,INS.089,Differential pressure transmitter - Wellpad 1,each,52
Commissioning_&_Testing,COM.060,Pre-commissioning flushing - Wellpad 1,lot,0
Valves,VLV.057,Butterfly valve 8in 150lb CS - North Battery,each,27
Fire_Protection,FPS.057,Manual call point weatherproof - Train 1,each,74
Telecommunications,TEL.052,Access control reader prox card - Wellpad 3,each,22
Buildings_&_Facilities,BLD.071,Control room building structure - Utilities Area,each,3
Utilities,UTL.053,Instrument air compressor 10 bar - Train 3,each,3
Utilities,UTL.054,Sewage pump submersible - Area C,each,4
HVAC,HVC.035,Ductwork galvanised 1000x500 - Wellpad 3,m2,111
Buildings_&_Facilities,BLD.072,Raised access flooring 600x600 - Area D,m2,167
Buildings_&_Facilities,BLD.073,Modular office building 10m x 6m - Train 3,each,1
Piping,PIP.097,CS reducer 8x6in BW - Train 2,each,33
HVAC,HVC.036,Air handling unit 20000 m3/h - Export Pump Area,each,1
Valves,VLV.058,Ball valve 2in 150lb CS FF - Utilities Area,each,7
Insulation_&_Painting,INL.038,Fireproofing intumescent 2hr - Export Pump Area,m2,106
Fire_Protection,FPS.058,Fire hydrant pillar type - Train 1,each,4
Fire_Protection,FPS.059,Hose reel cabinet SS - Area B,each,30
Utilities,UTL.055,Potable water treatment package - Wellpad 1,each,3
